"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"Massachusetts","number of customers","ELEC.CUSTOMERS.MA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts : all sectors","number of customers","ELEC.CUSTOMERS.MA-ALL.M",3002631,3037720,3053087,3031884,3032805,3062846,3041527,3046497,3042131,3054283,3047399,3046204,3033694,3056897,3057800,3061328,3045070,3045767,3053593,3050499,3049587,3081338,3043033,3065348,3066299,3073075,3079095,3067602,3056805,3080554,3097530,3060827,3079056,3055444,3069359,3061323,3087697,3097313,3102942,3102678,3076307,3096200,3098981,3094713,3092628,3092223,3228103,3083440,3098442,3111225,3116723,3088131,3107047,3119906,3115357,3108292,3110601,3089161,3136395,3113421,3115167,3104621,3119929,3121568,3101697,3126808,3121769,3120971,3116638,3127438,3102217,3127717,3126066,3125613,3113971,3129821,3178338,3115074,3125447,3147710,3109298,3143437,3146350,3143766,3192205,3206734,3211524,3210866,3212362,3230443,3212873,3212535,3216197,3213043,3251197,3222982,3128901,3155984,3192721,3140659,3178113,3138474,3169491,3145771,3174523,3137983,3173199,3153832,3178294,3196580,3234387,3197562,3184114,3214053,3188882,3141929,3170236,3154061,3206086,3168525,3186696,3181483,3171351,3162641,3228381,3186435,3256883,3203630,3212693,3207866,3217271,3229286,3210007,3159990,3246898,3214656,3209020,3217567,3241989,3284135,3219007,3211042,3235873,3239202,3250689,3260571,3254810,3261653,3261316,3260041,3288685,3269225,3259229,3281734,3244765
"Massachusetts : residential","number of customers","ELEC.CUSTOMERS.MA-RES.M",2611383,2644943,2659795,2640737,2640081,2667354,2647592,2652619,2645764,2657827,2652469,2649804,2643927,2666102,2664424,2669742,2654562,2655341,2662948,2659462,2660034,2684326,2651810,2671131,2669895,2676479,2681875,2671066,2661875,2684043,2702101,2666265,2682300,2660647,2673592,2666461,2680810,2689231,2694100,2694151,2670670,2688383,2690700,2687285,2684602,2684345,2782000,2676354,2689419,2701221,2706153,2679806,2696881,2709421,2703695,2697769,2699728,2683682,2719875,2702035,2706220,2696684,2710873,2712911,2695386,2717239,2713017,2712124,2709762,2717600,2694752,2718516,2716262,2710961,2701275,2714496,2762279,2709814,2711048,2731254,2696144,2726933,2729944,2731115,2773313,2787462,2792236,2792626,2793886,2790777,2793839,2793580,2796546,2793500,2828963,2802288,2715618,2741040,2749279,2727164,2762996,2733704,2753464,2730781,2757138,2724471,2755691,2739000,2760362,2776383,2813099,2776719,2764360,2790718,2768949,2722543,2752160,2738673,2780013,2749877,2778451,2776955,2757989,2749626,2811120,2772113,2836762,2777334,2783457,2780447,2787564,2799096,2790040,2745659,2820739,2794298,2788776,2795845,2817715,2860186,2797251,2789284,2811059,2814325,2819573,2827798,2823942,2830671,2829947,2829253,2857559,2838739,2832094,2838047,2813809
"Massachusetts : commercial","number of customers","ELEC.CUSTOMERS.MA-COM.M",377105,378689,379117,377056,378564,381370,379830,379798,382624,382357,380884,382459,373532,374675,377084,375439,374283,374274,374448,374893,373468,380835,375158,377980,380187,380706,380707,380359,378777,380338,379305,378381,380602,378623,379610,378828,386013,387184,387763,387715,384929,386792,387390,386704,386934,387009,423601,386297,387993,389034,389495,387241,389087,389443,390484,389313,389629,384264,395204,390079,392343,391431,392482,392172,389819,392972,392257,392198,390140,393167,390820,392517,394900,399816,397833,400412,401201,390372,399531,401457,398225,401613,401470,397773,404868,405157,405156,404154,404397,425603,404993,404739,405444,405435,408119,406655,399522,401197,429661,399826,401446,391066,402414,401345,403686,399909,403837,401296,407538,409844,410827,410432,409419,412921,409639,409028,407679,405089,415749,408413,397665,393908,402862,402640,406757,403852,409568,415823,418706,416928,419187,419750,408938,403453,415049,409297,409199,410747,413195,412932,410769,410716,413740,413912,423465,425148,423322,423449,423782,423218,423601,422910,419594,432671,423520
"Massachusetts : industrial","number of customers","ELEC.CUSTOMERS.MA-IND.M",14142,14087,14174,14090,14159,14121,14104,14079,13742,14098,14045,13940,16234,16119,16291,16146,16224,16151,16196,16143,16084,16176,16064,16236,16215,15888,16511,16175,16151,16171,16122,16179,16152,16172,16155,16032,20872,20896,21077,20810,20706,21023,20889,20722,21090,20867,22500,20787,21028,20968,21073,21082,21077,21040,21176,21208,21242,21213,21314,21305,16602,16504,16572,16483,16490,16595,16493,16647,16734,16669,16643,16682,14901,14833,14860,14910,14855,14885,14865,14996,14926,14889,14934,14876,14021,14112,14129,14083,14076,14060,14038,14213,14204,14105,14112,14036,13759,13745,13779,13667,13669,13702,13611,13643,13697,13601,13669,13534,10392,10351,10459,10409,10333,10412,10292,10356,10395,10297,10322,10233,10578,10618,10498,10373,10502,10468,10551,10471,10528,10489,10518,10438,11027,10876,11108,11059,11043,10973,11077,11015,10985,11040,11072,10963,7649,7623,7544,7531,7585,7568,7523,7574,7539,11014,7434
"Massachusetts : transportation","number of customers","ELEC.CUSTOMERS.MA-TRA.M",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,"NM","NM","NM",3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Massachusetts : other","number of customers","ELEC.CUSTOMERS.MA-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire","number of customers","ELEC.CUSTOMERS.NH-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Hampshire : all sectors","number of customers","ELEC.CUSTOMERS.NH-ALL.M",697884,697068,697872,698154,700505,702848,705763,704395,702275,702777,698481,698588,679578,681824,683562,684886,689516,689757,689919,691341,690096,690011,686118,687215,703197,703140,703688,702894,706387,706621,707538,707712,708043,707757,704261,704956,705400,705394,705734,705395,708512,709091,709557,709972,709430,709193,706394,707505,708080,708141,708634,708086,710998,711276,711425,711888,712008,711839,708998,710051,710546,708756,710256,709631,713277,713816,714739,714699,714384,714504,711961,712927,713823,714040,714503,714632,716862,717242,712584,714633,718414,723601,716649,715797,725082,712184,712219,710517,709010,717757,717027,716396,718788,721967,715666,722258,713566,718835,720856,717360,723443,724239,725901,727490,726151,725999,723944,726598,727762,725650,729352,726402,729030,729466,729544,730143,730751,730130,729164,730713,731096,731418,731906,731215,733616,734222,734866,737533,733581,734986,733789,735570,735643,735790,736136,734769,738154,739397,745671,740389,740085,739144,739125,740064,742207,742337,742881,743426,746590,746968,747886,748180,748741,747430,747853
"New Hampshire : residential","number of customers","ELEC.CUSTOMERS.NH-RES.M",592137,591891,592297,592681,594574,596553,598401,597127,595470,595403,591996,591617,584443,587118,588436,589289,593558,593700,593899,594441,593903,593824,590134,591161,594716,595237,595724,595134,598230,598367,599300,599495,599768,599574,596293,597070,597354,597561,597952,597570,600339,600735,601194,601635,601167,600921,598468,599479,600102,600229,600594,600002,602463,602625,602781,603128,603242,603078,600533,601579,602022,600537,601743,601028,604227,604673,605458,605637,605285,605482,603245,604190,605176,605334,605827,605764,607756,608004,603772,606685,610007,613359,606742,604152,615575,603688,603916,602171,600736,608841,607620,608022,608824,612021,605971,612176,604951,609260,611157,608549,613076,613378,615335,615801,615502,615438,614019,616143,618172,615099,617565,616027,618221,618630,618904,619404,619917,619398,618749,620178,620549,620787,621202,620419,622567,623100,623618,625903,622527,624299,622692,624380,624756,624912,625141,623664,626822,627770,633444,628676,628328,627397,627633,628548,630182,630311,630808,631312,634056,634402,635170,635529,635978,635109,635270
"New Hampshire : commercial","number of customers","ELEC.CUSTOMERS.NH-COM.M",102514,101989,102361,102251,102722,103088,103714,103631,103167,103730,102862,103272,91937,91501,91924,92380,92744,92853,92825,93710,93008,93004,92804,92874,104962,104397,104436,104262,104661,104769,104735,104734,104789,104696,104486,104407,104540,104327,104284,104329,104683,104862,104874,104854,104773,104794,104453,104547,104498,104438,104561,104613,105069,105199,105192,105320,105345,105342,105066,105080,105139,104853,105136,105231,105664,105773,105898,105693,105742,105656,105351,105377,105291,105341,105322,105529,105768,105901,105495,104638,105099,106896,106562,108241,106194,105229,104990,105049,105002,105636,106162,105131,106695,106657,106425,106816,105395,106349,106442,105592,107115,107610,107308,108421,107391,107294,106670,107199,106344,107331,108529,107159,107573,107619,107424,107527,107588,107517,107228,107380,107355,107450,107525,107617,107879,107943,108091,108438,107896,107518,107923,108017,107685,107682,107805,107912,108142,108432,109019,108508,108568,108559,108312,108331,108905,108889,108944,108981,109400,109436,109585,109536,109621,109147,109458
"New Hampshire : industrial","number of customers","ELEC.CUSTOMERS.NH-IND.M",3233,3188,3214,3222,3209,3207,3648,3637,3638,3644,3623,3699,3198,3205,3202,3217,3214,3204,3195,3190,3185,3183,3180,3180,3519,3506,3528,3498,3496,3485,3503,3483,3486,3487,3482,3479,3506,3506,3498,3496,3490,3494,3489,3483,3490,3478,3473,3479,3480,3474,3479,3471,3466,3452,3452,3440,3421,3419,3399,3392,3385,3366,3377,3372,3386,3370,3383,3369,3357,3366,3365,3360,3356,3365,3354,3339,3338,3337,3317,3310,3308,3346,3345,3404,3313,3267,3313,3297,3272,3280,3245,3243,3269,3289,3270,3266,3220,3226,3257,3219,3252,3251,3258,3268,3258,3267,3255,3256,3246,3220,3258,3216,3236,3217,3216,3212,3246,3215,3187,3155,3192,3181,3179,3179,3170,3179,3157,3192,3158,3169,3174,3173,3202,3196,3190,3193,3190,3195,3208,3205,3189,3188,3180,3185,3120,3137,3129,3133,3134,3130,3131,3115,3142,3174,3125
"New Hampshire : transportation","number of customers","ELEC.CUSTOMERS.NH-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Hampshire : other","number of customers","ELEC.CUSTOMERS.NH-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island","number of customers","ELEC.CUSTOMERS.RI-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rhode Island : all sectors","number of customers","ELEC.CUSTOMERS.RI-ALL.M",474805,491993,491655,477675,491963,492997,491965,491486,491297,490708,493194,477534,491694,493125,493794,494822,494083,485019,493314,479397,492973,487659,492867,487264,494458,497141,495287,482251,494677,482468,493484,481200,488699,494095,493904,473494,495479,495559,477014,495366,495622,496162,495399,482106,495166,496345,494731,482623,489471,496708,496862,497714,484655,497935,497082,496195,496925,495721,496647,496482,497100,497993,498928,499212,499616,499926,499147,498304,495738,498338,498943,497926,497881,497628,500060,499295,500198,499959,499568,498124,499850,499753,498054,498937,498580,500570,500789,501481,502274,501958,499460,499498,500958,500483,503279,502032,500755,501569,503929,501673,492679,501489,499456,501078,500232,501973,504203,481795,500153,504189,483918,493332,502184,507665,506812,506745,502594,482934,507832,481904,508020,508412,487460,509274,510663,484149,510596,506525,511041,503603,510578,496566,505301,510629,511630,495614,506745,513201,502018,513103,509530,514279,510734,486967,514553,498743,499569,502622,514417,509938,492351,514554,485924,507272,508241
"Rhode Island : residential","number of customers","ELEC.CUSTOMERS.RI-RES.M",418318,433731,433380,420601,433559,435184,434058,432980,433077,432224,434314,420401,433343,434314,435035,436407,435502,427028,434584,421778,434447,429369,434212,429201,435560,438155,436265,424043,435872,424345,434651,422930,429842,434787,434780,416249,435784,436103,418530,435974,436072,436609,435643,423395,435583,436469,435282,423721,430138,436646,437105,437829,425560,437860,437056,436374,436974,436250,436548,437033,437347,437686,438558,438908,439192,439640,438880,438035,435248,438267,438578,438050,437781,437146,439748,439223,439874,439693,439351,438156,439395,439276,438134,438758,438621,440043,440298,440985,441788,441310,438963,438935,440176,439792,440169,441203,439774,440763,442768,440770,432349,440821,438709,440145,439235,440966,442851,422925,438796,442445,423717,432056,440987,445530,444830,444825,441084,423128,445561,422524,445693,446187,426979,446894,448202,423960,448137,444229,448438,441887,447934,435532,442806,448200,448588,434089,444593,450231,439722,449953,446765,451064,447809,426769,451043,436452,438156,440118,451287,447620,432204,451797,426023,445496,447324
"Rhode Island : commercial","number of customers","ELEC.CUSTOMERS.RI-COM.M",54482,56181,56195,54997,56309,55771,55872,56437,56173,56426,56812,55216,56318,56763,56742,56403,56548,55996,56688,55609,56525,56279,56665,56088,56882,56989,57018,56218,56829,56160,56862,56301,56868,57325,57151,55363,57723,57485,56508,57430,57594,57580,57785,56780,57611,57903,57509,56990,57384,58103,57821,57952,57181,58124,58077,57890,58013,57576,58159,57610,57876,58361,58431,58372,58504,58367,58339,58350,58561,58174,58467,58014,58211,58579,58430,58174,58423,58380,58335,58102,58564,58587,58060,58309,58121,58667,58645,58632,58624,58792,58669,58705,58935,58859,61202,58989,59127,58971,59327,59080,58508,58852,58916,59111,59169,59189,59526,57112,59537,59929,58410,59486,59411,60330,60177,60133,59745,58047,60488,57674,60543,60443,58730,60586,60671,58435,60672,60520,60815,59964,60863,59283,60731,60663,61266,59757,60393,61202,60528,61383,61011,61455,61170,58497,61763,60555,59717,60786,61412,60590,58508,61041,58248,60076,59296
"Rhode Island : industrial","number of customers","ELEC.CUSTOMERS.RI-IND.M",2005,2081,2080,2077,2095,2042,2035,2069,2047,2058,2068,1917,2033,2048,2017,2012,2033,1995,2042,2010,2001,2011,1990,1975,2015,1996,2003,1989,1975,1962,1970,1968,1988,1982,1972,1881,1971,1970,1975,1961,1955,1972,1970,1930,1971,1972,1939,1911,1948,1958,1935,1932,1913,1950,1948,1930,1937,1894,1939,1838,1876,1945,1938,1931,1919,1918,1927,1918,1928,1896,1897,1861,1888,1902,1881,1897,1900,1885,1881,1865,1890,1889,1859,1869,1837,1859,1845,1863,1861,1855,1827,1857,1846,1831,1907,1839,1853,1834,1833,1822,1821,1815,1830,1821,1827,1817,1825,1757,1819,1814,1790,1789,1785,1804,1804,1786,1764,1758,1782,1705,1783,1781,1750,1793,1789,1753,1786,1775,1787,1751,1780,1750,1763,1765,1775,1767,1758,1767,1767,1766,1753,1759,1754,1700,1746,1735,1695,1717,1717,1727,1638,1715,1652,1699,1620
"Rhode Island : transportation","number of customers","ELEC.CUSTOMERS.RI-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rhode Island : other","number of customers","ELEC.CUSTOMERS.RI-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
